code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1001,Cash,asset,cash_bank,debit,0,cash_bank,,asset_cash,1,,l10n_cn_common_account_1001,
1002,Bank,asset,cash_bank,debit,0,cash_bank,,asset_cash,1,,l10n_cn_common_account_1002,
1003,Credit Card,liability,credit_card,credit,0,,,liability_credit_card,1,,l10n_cn_account_1003,
1006,Outstanding Receipts,asset,current_asset,debit,0,,,asset_current,1,,account_journal_payment_debit_account_id,
1007,Outstanding Payments,asset,current_asset,debit,0,,,asset_current,1,,account_journal_payment_credit_account_id,
1012,Other Monetary Funds,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_common_account_1012,
1012.01,Bank Suspense Account,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_account_101201,
1012.02,Liquidity Transfer,asset,current_asset,debit,0,,,asset_current,1,,l10n_cn_account_101202,
1101,Short-Term Investment,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_account_1101,
1121,Notes Receivable,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_common_account_1121,
1122,Accounts Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_cn_common_account_1122,
1122.01,Account Receivable (Pos),asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_cn_common_account_112201,
1123,Prepayments,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_cn_common_account_1123,
1131,Dividend Receivable,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_common_account_1131,
1132,Interest Receivable,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_common_account_1132,
1221,Other Receivables,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_common_account_1221,
1221.02,Tax Receivable,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_account_122102,
1231,Other Current Assets,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_account_1231,
1401,Purchase Of Material,asset,current_asset,debit,0,,,asset_current,0,,l10n_cn_common_account_1401,
